Country,ISO_code,Years,Age,Any_method,Any_modern_method,Female_Sterilization,Male_Sterilization,Pill,Injectable,IUD,Male_condom,Vaginal_barrier_methods,Implant,Other_modern_methods,Any_traditional_method,Rhythm,Withdrawal,Other_traditional_methods
Bangladesh,050,1981,10-49,"18,6",11,4,"0,8","3,5","0,4","0,4","1,6","0,3",0,0,"7,6","3,9","1,8","1,9"
Bangladesh,050,1983-1984,10-49,"19,1","13,7","6,2","1,2","3,3","0,2",1,"1,5","0,3",0,0,"5,4","2,4","1,3","1,8"
Bangladesh,050,1985-1986,10-49,"25,3","18,4","7,9","1,5","5,1","0,5","1,4","1,8","0,2",0,0,"6,9","3,8","0,9","2,2"
Bangladesh,050,1989,10-49,"31,4","24,4",9,"1,4","9,1","1,1","1,7","1,9","0,2",0,0,"7,1","3,9","1,2",2
Bangladesh,050,1989,10-49,"30,8","23,2","8,5","1,2","9,6","0,6","1,4","1,8","0,1",0,0,"7,6",4,"1,8","1,8"
Bangladesh,050,1991,10-49,"39,9","31,2","9,1","1,2","13,9","2,6","1,8","2,5",0,0,0,"8,7","4,7",2,2
Bangladesh,050,1993-1994,15-49,"44,9","36,6","8,2","1,1","17,5","4,6","2,2",3,0,0,0,"8,3","4,8","2,4","1,1"
Bangladesh,050,1996-1997,15-49,"49,8","42,1","7,7","1,1","21,1","6,3","1,8","3,9",0,"0,1",0,"7,7","5,1","1,9","0,8"
Bangladesh,050,1999-2000,15-49,"54,3",44,"6,8","0,5","23,3","7,3","1,3","4,3",0,"0,5",0,"10,3","5,4",4,"0,9"
Bangladesh,050,2004,15-49,"58,5","47,6","5,3","0,6","26,4","9,8","0,6","4,2",0,"0,8",0,"10,8","6,6","3,6","0,7"
Bangladesh,050,2007,15-49,"55,8","47,5",5,"0,7","28,5",7,"0,9","4,5",0,"0,7",0,"8,3","4,9","2,9","0,6"
Bangladesh,050,2011,15-49,"61,2","52,1",5,"1,2","27,2","11,2","0,7","5,5",0,"1,1",0,"9,2","6,9","1,9","0,4"
Barbados,052,1980-1981,15-49,"46,5","44,7","14,4","0,3","15,8","2,2",4,"5,4","2,6",0,0,"1,9",0,0,0
Barbados,052,1988,15-44,55,"53,3",10,"0,3",27,"0,9","5,2","7,4","2,6",0,0,"1,7","0,7",1,0
Belarus,112,1995,18-34,"50,4","42,1","0,8",0,"6,7",0,29,"4,8","0,8",0,0,"8,3",3,"5,2","0,1"
Belarus,112,2005,15-49,"72,6",56,"2,4",0,"10,4",0,"25,7","17,5",0,0,0,"16,6","5,5","9,6","1,5"
Belarus,112,2012,15-49,"63,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,056,1966,20-40,72,"10,8",0,0,5,0,0,"2,9","0,7",0,"2,2","61,2","15,8","39,6","5,8"
Belgium,056,1975-1976,20-44,87,"47,9",0,0,"30,5",0,"3,5","7,8",0,0,"6,1","39,1",7,"25,2",7
Belgium,056,1982-1983,20-44,81,"63,2",0,0,"31,6",0,"8,1","6,5",0,0,17,"17,8","4,1","5,7",8
Belgium,056,1991-1992,21-39,"78,4","74,3","10,9",7,"46,7",0,5,"4,7","0,1",0,0,"4,1","2,1",2,0
Belgium,056,1997,15-54,"56,5","54,8",0,0,"37,9",0,"5,2",0,0,0,"11,7","1,6",0,0,0
Belgium,056,2001,15-49,"75,6",74,0,0,"47,5",0,"7,6",0,0,0,"18,9","1,3",0,0,0
Belgium,056,2004,15-49,"74,6","72,9",0,0,"44,8",0,"9,7",0,0,0,"18,4","1,5",0,0,0
Belgium,056,2008-2010,18-49,"70,4","69,1","8,4","8,4",0,0,0,6,0,0,"46,2","1,3",0,0,"1,3"
Belize,084,1991,15-44,"46,7","41,8","18,7",0,"14,9","4,3","1,9","1,9",0,0,0,"4,9","2,5",0,"2,4"
Belize,084,1999,15-44,"56,1","49,3",18,0,"15,6","7,6","1,5","6,6",0,0,0,"6,8","3,5",0,"3,3"
Belize,084,2006,15-49,"34,3","31,2","8,9","0,1","10,8",5,"2,1","4,1","0,1","0,1",0,"3,2","1,7","0,3","1,2"
Belize,084,2011,15-49,"55,2","51,8","20,7","0,1","12,5","11,4","1,6","5,1",0,"0,1","0,3","3,4","2,1",1,"0,3"
Benin,204,1981-1982,15-49,"6,6","0,7",0,"0,1","0,3",0,"0,1","0,2",0,0,0,"5,9","1,8","3,5","0,6"
Benin,204,1996,15-49,"16,4","3,4","0,4",0,1,"0,7","0,5","0,7","0,1",0,0,13,"6,6","5,2","1,2"
Benin,204,2001,15-49,"18,6","6,8","0,3",0,"1,8","2,1","0,8","1,3","0,2","0,3",0,"11,8","6,9","4,3","0,6"
Benin,204,2006,15-49,17,"5,9","0,3",0,"1,5","1,8","0,6","1,1",0,"0,5",0,"11,1","6,9","3,6","0,5"
Benin,204,2011-2012,15-49,"12,9","7,4","0,1",0,"1,3",2,"0,5","1,8",0,1,"0,6","5,5","2,9","0,8","1,8"
Bhutan,064,1994,15-49,"18,8","18,8","3,1",8,"2,4",4,1,"0,3",0,0,0,0,0,0,0
Bhutan,064,2000,15-49,"30,7","30,7","3,1","13,6","3,4","5,9","3,4","1,2",0,0,0,0,0,0,0
Bhutan,064,2007,15-49,0,"35,4",0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,064,2010,15-49,"65,6","65,4","7,1","12,6","7,5","28,9","3,7","5,5",0,"0,1",0,"0,2","0,1",0,"0,1"
Bolivia (Plurinational State of),068,1983,15-49,"23,6","9,9","2,4","0,1","2,7","0,4","3,4","0,4","0,5",0,0,"13,7","12,7","0,6","0,4"
Bolivia (Plurinational State of),068,1989,15-49,"30,3","12,2","4,4",0,"1,9","0,7","4,8","0,3","0,1",0,0,18,"16,1",1,"0,9"
Bolivia (Plurinational State of),068,1993-1994,15-49,"45,3","17,7","4,6",0,"2,8","0,8","8,1","1,3","0,1",0,0,"27,6",22,"1,7","3,9"
Bolivia (Plurinational State of),068,1998,15-49,"48,3","25,2","6,5",0,"3,8","1,1","11,1","2,6",0,0,0,"23,1",20,"2,3","0,8"
Bolivia (Plurinational State of),068,2000,15-49,"53,4","27,3","4,3",0,"3,8","3,2","12,6","3,3",0,0,0,"26,1","21,3","0,5","4,3"
Bolivia (Plurinational State of),068,2003-2004,15-49,"58,4","32,4","6,5",0,"3,6",8,"10,2","3,9","0,2",0,0,"25,9","19,4","3,8","2,7"
Bolivia (Plurinational State of),068,2008,15-49,"60,5","33,7","6,5","0,1","3,3","11,3","8,4",4,"0,1",0,0,"26,8","20,8","4,9","1,1"
Bosnia and Herzegovina,070,1970,15-44,"42,9","3,1",0,0,"1,4",0,"0,2","1,5",0,0,0,"39,8","0,6","39,2",0
Bosnia and Herzegovina,070,2000,15-49,"47,5","15,7","0,1",0,"4,5",0,"7,9","3,1","0,1",0,0,"31,7","4,1","26,9","0,7"
Bosnia and Herzegovina,070,2006,15-49,"35,7","11,2","0,1",0,"3,4",0,"3,6","4,1",0,0,"0,1","24,5","2,7","21,4","0,4"
Bosnia and Herzegovina,070,2011-2012,15-49,"45,8",12,"0,2",0,"1,6",0,"3,8","6,2",0,0,"0,2","33,8","3,7","29,8","0,3"
Botswana,072,1984,15-49,"27,8","18,6","1,5",0,10,1,"4,8","1,2","0,1",0,0,"9,2","0,3","0,3","8,6"
Botswana,072,1988,15-49,33,"31,7","4,3","0,3","14,8","5,4","5,6","1,3",0,0,0,"1,3","0,2","0,3","0,8"
Botswana,072,1996,15-49,"41,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,072,2000,15-49,"44,4","42,1","1,2","0,2","14,3","8,1","1,7","15,5","0,1","0,4","0,6","2,3","0,2",0,"2,1"
Botswana,072,2007-2008,12-49,"52,8","51,2","2,1","0,1","6,1","6,8","0,8","41,7","0,6",0,0,"2,6","1,8","0,6","0,2"
Brazil,076,1986,15-44,"66,2","56,5","26,8","0,8","25,2","0,6",1,"1,7","0,5",0,0,"9,7",4,5,"0,7"
Brazil,076,1996,15-49,"76,7","70,3","40,1","2,6","20,7","1,2","1,1","4,4","0,1",0,0,"6,4",3,"3,1","0,3"
Brazil,076,2006,15-49,"80,3","77,1","29,1","5,1","24,7",4,"1,9","12,2",0,"0,1",0,"3,2","1,1","2,1",0
Bulgaria,100,1976,15-44,75,6,0,0,"2,5",0,"1,4","2,1",0,0,0,"69,1","3,8",59,"6,3"
Bulgaria,100,1995,15-44,"85,9","45,6",0,0,"9,3",0,"22,3",14,0,0,0,"40,3","4,1","34,2",2
Bulgaria,100,1997-1998,20-44,"63,4","39,6",0,0,"10,7",0,"10,6","16,7","1,2",0,"0,4","23,8",0,"19,6","4,2"
Bulgaria,100,2004-2005,18-49,"64,4","36,8","2,3","0,1","5,6",0,"10,4","18,2",0,0,"0,3","27,6","1,8","25,8",0
Bulgaria,100,2007,20-49,"69,2","40,1","2,1","0,1","6,2",0,"8,9","22,3","0,2",0,"0,3","29,1","2,1",27,0
Burkina Faso,854,1992-1993,15-49,"24,9","4,2","0,2",0,"2,1","0,1","0,7","0,8","0,1",0,0,"20,7","3,5",0,"17,2"
Burkina Faso,854,1998-1999,15-49,"11,9","4,8",0,0,"1,8","1,1","0,4","1,2",0,0,"0,4",7,"4,6","0,2","2,2"
Burkina Faso,854,2003,15-49,"13,8","8,6","0,1",0,"2,2","2,5","0,4","2,1",0,"1,2",0,"5,1","3,1","0,1","1,9"
Burkina Faso,854,2006,15-49,"17,4","13,3","0,1",0,"4,6",5,"0,1","1,4","0,1",2,0,"4,1","2,9","0,1","1,1"
Burkina Faso,854,2010-2011,15-49,"16,2",15,"0,2",0,"3,2","6,2","0,3","1,6",0,"3,4","0,2","1,2",1,0,"0,1"
Burundi,108,1987,15-49,"8,7","1,2","0,1",0,"0,2","0,5","0,3","0,1",0,0,0,"7,5","4,8","0,7",2
Burundi,108,2000,15-49,"15,7",10,"0,2","0,1","3,9","4,7","0,8","0,2",0,0,0,"5,6","3,4",0,"2,3"
Burundi,108,2002,15-49,"19,7","8,5","0,1",0,"2,4","4,7","0,8","0,5",0,0,0,"11,2","9,2","1,9","0,1"
Burundi,108,2005,15-49,"9,1","7,5","0,2",0,"1,8",5,"0,1","0,3",0,0,0,"1,6",1,"0,2","0,4"
Burundi,108,2010-2011,15-49,"21,9","17,7","0,6",0,"2,4","10,4","2,7",1,0,"0,6",0,"4,1","1,9","2,3",0
Cabo Verde,132,1988-1989,15-49,"23,8",19,0,0,0,0,0,0,0,0,0,"4,8",0,0,0
Cabo Verde,132,1998,15-49,"52,9",46,"12,8",0,"18,2","7,7","4,3",3,"0,1",0,0,"6,9","4,9",2,"0,1"
Cabo Verde,132,2005,15-49,"61,3","57,1","14,8",0,"21,4","11,3","2,2","6,1",0,0,"1,3","4,2","1,9","2,2","0,1"
Cambodia,116,1995,15-44,"12,6","6,9","1,3",0,"1,3","2,3","1,6","0,3",0,0,"0,1","5,7",0,0,0
Cambodia,116,1998,15-49,"21,8","16,1","0,9",0,"5,8",7,"1,8","0,6",0,0,0,"5,7",0,0,0
Cambodia,116,2000,15-49,"23,8","18,5","1,5","0,2","7,2","7,4","1,3","0,9",0,"0,1",0,"5,3","2,7","2,2","0,4"
Cambodia,116,2005,15-49,40,"27,1","1,7","0,1","12,6","7,9","1,8","2,9",0,"0,2",0,"12,9","4,5","8,3","0,2"
Cambodia,116,2010-2011,15-49,"50,5","34,9","2,4",0,"15,8","10,4","3,1","2,7",0,"0,4",0,"15,7","3,9","11,7","0,1"
Cameroon,120,1978,15-49,"2,4","0,6",0,0,"0,2",0,"0,2","0,2",0,0,0,"1,8","1,1","0,4","0,3"
Cameroon,120,1991,15-49,"16,1","4,3","1,2",0,"1,2","0,4","0,3","0,9","0,3",0,0,"11,8","6,8","1,5","3,6"
Cameroon,120,1998,15-49,"19,3","7,1","1,5",0,2,"0,7","0,6","2,1",0,0,"0,2","12,3","9,6","1,6",1
Cameroon,120,2000,15-49,"25,6","6,3",1,0,"1,7",1,"0,2","1,9","0,2","0,2","0,1","19,3",11,"0,6","7,8"
Cameroon,120,2004,15-49,26,"12,5","1,2",0,"1,6","1,4","0,3","7,6",0,"0,3",0,"13,5","10,2","2,1","1,2"
Cameroon,120,2006,15-49,"29,2",12,"0,4",0,"1,9","2,3","0,3","6,5",0,"0,6","0,1","17,2","13,1","0,6","3,5"
Cameroon,120,2011,15-49,"23,4","14,1","0,5",0,"1,9",3,"0,2","7,6",0,"0,7","0,1","9,2","6,7","1,8","0,7"
Canada,124,1984,18-49,"73,1","69,7","30,6","12,9",11,0,"5,8","7,9","1,5",0,0,"3,6","2,2",1,"0,4"
Canada,124,1995,15-49,"74,7","73,3","30,6","15,2","14,4",0,"2,9","9,4","0,8",0,0,"1,5","0,6","0,7","0,2"
Canada,124,1998,18-44,80,76,16,24,16,0,2,15,3,0,0,8,2,6,0
Canada,124,2002,18-44,74,72,11,22,21,1,1,15,1,0,0,9,3,6,0
Central African Republic,140,1994-1995,15-49,"14,8","3,3","0,4",0,"1,1","0,6","0,1",1,"0,1",0,0,"11,5","4,9","0,5","6,1"
Central African Republic,140,2000,15-49,"27,9","6,9","0,3",0,"4,8","0,6","0,2","0,9",0,0,0,21,"14,7","0,8","5,5"
Central African Republic,140,2006,15-49,19,"8,6","0,3","0,1","4,4","0,2","0,1","3,5",0,0,0,"10,5","6,8","0,4","3,3"
Central African Republic,140,2010-2011,15-49,"15,2","9,3","0,2",0,"5,9","0,5",0,"2,3",0,"0,2","0,2","5,9","2,8","0,2","2,9"
Chad,148,1996-1997,15-49,"4,1","1,2","0,2",0,"0,6","0,2",0,"0,2",0,0,0,3,"2,2","0,3","0,6"
Chad,148,2000,15-49,"7,9","2,1","0,6",0,"1,1","0,2","0,1",0,"0,1",0,0,"5,8","1,5",0,"4,4"
Chad,148,2004,15-49,"2,8","1,7","0,2",0,"0,5","0,5",0,"0,4",0,0,"0,1","1,1","1,1",0,0
Chad,148,2010,15-49,"4,8","1,6","0,1",0,"0,5","0,9",0,"0,1",0,0,0,"3,2","0,3",0,3
Chile,152,2001,15-44,"60,7","57,9","5,7",0,"23,3","0,6","21,7","6,5","0,1",0,0,"2,7","1,4","0,3",1
Chile,152,2006,15-44,"64,2",0,"7,1",0,"29,1",0,"18,9","9,1",0,0,0,0,0,0,0
China,156,1982,15-49,"69,5","66,7","17,6","6,9","5,9",0,"34,9","1,4",0,0,0,"2,8",0,0,0
China,156,1988,15-49,"71,1","69,9","27,2","7,8","3,5",0,"29,5","1,9",0,0,0,"1,2",0,0,0
China,156,1992,15-49,"84,6","83,7","35,9","10,2","3,1",0,"33,1","1,4",0,0,0,"0,9",0,0,0
China,156,1997,15-49,"83,8","83,3","33,5","7,7","1,7",0,"36,4","3,4","0,2","0,4",0,"0,5",0,0,0
China,156,2001,15-49,"86,9","86,2","33,1","6,9",0,0,"39,6","4,4",0,"0,3","1,8","0,7",0,0,0
China,156,2006,15-49,"84,6",84,"28,7","4,5","1,2",0,"40,6","8,5","0,2","0,3",0,"0,6","0,3","0,3",0
"China, Hong Kong SAR",344,1967,15-45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China, Hong Kong SAR",344,1972,15-49,"49,6","43,3",0,0,"17,9","1,5",5,"3,5",4,0,"11,4","6,5",3,0,"3,5"
"China, Hong Kong SAR",344,1977,15-49,"71,9",64,0,0,23,"2,2","2,9","12,9","4,3",0,"18,7","7,9","7,9",0,0
"China, Hong Kong SAR",344,1982,15-49,"72,3","63,9","19,9","1,2","19,4","2,7","3,5","14,6","2,6",0,0,"8,5","8,1",0,"0,4"
"China, Hong Kong SAR",344,1987,15-49,"80,8",75,"22,9","0,9","16,4","2,5","4,5",26,"1,8",0,0,"5,9","5,4",0,"0,5"
"China, Hong Kong SAR",344,1992,15-49,"86,2","79,7","18,9","0,9","17,1","1,7","5,1","34,5","1,5",0,0,"6,6","5,1",0,"1,5"
"China, Hong Kong SAR",344,1997,15-49,86,"80,9","19,7","0,7",14,"2,3","5,1","38,2","0,9",0,0,"5,1",3,"0,5","1,6"
"China, Hong Kong SAR",344,2002,15-49,"86,2","81,3","14,5","0,5","8,1","1,6",9,"47,2","0,4",0,0,"4,9","2,9","1,5","0,5"
"China, Hong Kong SAR",344,2007,15-49,"79,5","75,4","7,1","0,6","6,7","1,2","9,3","50,3","0,2",0,0,"4,1","2,3","1,8",0
Colombia,170,1969,15-49,"20,5","8,9",0,0,"4,8",0,"2,7",0,0,0,"1,4","11,5",0,0,0
Colombia,170,1976,15-49,"42,5","30,4",4,"0,2","13,3","0,4","8,5","1,7","2,3",0,0,12,"5,1","4,7","2,2"
Colombia,170,1978,15-49,"46,1","37,3","7,5",0,"17,2",0,"7,7","1,4",0,0,"3,5","8,7",4,0,"4,7"
Colombia,170,1980,15-49,"48,5",41,"10,7","0,2","17,4",0,"8,1",0,0,0,"4,6","7,6","4,9",0,"2,7"
Colombia,170,1986,15-49,"64,8","52,5","18,3","0,4","16,4","2,4",11,"1,7","2,3",0,0,"12,3","5,7","5,7","0,9"
Colombia,170,1990,15-49,"66,1","54,7","20,9","0,5","14,1","2,2","12,4","2,9","1,7",0,0,"11,4","6,1","4,8","0,5"
Colombia,170,1995,15-49,"72,2","59,3","25,7","0,7","12,9","2,5","11,1","4,3","1,4","0,7",0,"12,9","5,2","5,8","1,8"
Colombia,170,2000,15-49,"76,9","63,3","27,1",1,"11,8",4,"12,4","6,1","0,8","0,2",0,"13,7",6,"6,3","1,4"
Colombia,170,2004-2005,15-49,"78,2","67,6","31,2","1,8","9,7","5,8","11,2","7,1","0,5","0,3",0,"10,6","3,8","5,7","1,2"
Colombia,170,2009-2010,15-49,"79,1","72,7","34,9","3,4","7,6","9,2","7,5",7,"0,1","3,1",0,"6,3","2,3","3,5","0,5"
Comoros,174,1996,15-49,21,"11,4","2,8",0,"2,9","4,3","0,3",1,0,0,0,"9,6","3,3","5,4","0,9"
Comoros,174,2000,15-49,"25,7","19,3","0,7",0,"8,3","8,5","0,4","0,7",0,"0,7",0,"6,4","2,9","1,2","2,3"
Comoros,174,2012,15-49,"19,4","13,4","0,8",0,"3,1","5,6","0,1","2,1",0,"1,6",0,6,"3,2","1,9","0,9"
Congo,178,2005,15-49,"44,3","12,7","0,2",0,"2,3",1,"0,1","8,9",0,0,"0,1","31,6","23,8","5,3","2,5"
Congo,178,2011-2012,15-49,"44,7",20,"0,1",0,"2,9","2,8",0,"12,3","0,1","0,1","1,7","24,7","17,1","5,7",2
Cook Islands,184,1996,15-49,"63,2","60,4","11,3",0,"22,6","20,8","3,3","2,4",0,"4,7",0,"6,1","1,4","2,8","2,8"
Cook Islands,184,1999,15-49,"43,2","38,2","4,4","0,6","15,2","16,3","1,4","0,3",0,0,0,"4,9","0,3","1,1","3,5"
Costa Rica,188,1976,20-49,"64,4","53,5","12,3",1,"22,5",2,"5,2","8,8","1,7",0,0,"10,9","5,1","4,6","1,2"
Costa Rica,188,1978,15-49,"63,8","54,9",14,"0,8","23,3",2,"4,8","8,7","1,3",0,0,"8,9","4,9","3,5","0,5"
Costa Rica,188,1981,15-49,"65,2","55,9","17,3","0,5","20,6","2,2","5,7","8,4","1,2",0,0,"9,3","6,2","2,8","0,3"
Costa Rica,188,1986,15-44,"69,5","58,2","13,9","0,5","20,7",1,8,"13,4","0,7",0,0,"11,3","8,1","3,1","0,1"
Costa Rica,188,1992-1993,15-49,75,"64,6","19,7","1,3",18,1,"8,7","15,7","0,2",0,0,"10,3",7,"3,3","0,1"
Costa Rica,188,1999,18-44,80,"71,5","21,4","0,5","25,6","5,9","6,9","10,9","0,3",0,0,"8,5","6,5","1,8","0,2"
Costa Rica,188,2009,15-49,"81,1","76,4","28,3","4,7","24,7","8,1","2,8","7,7",0,"0,1",0,"4,6","3,2","0,7","0,7"
Costa Rica,188,2010,15-49,"82,2","79,9",30,"5,9","21,3","9,5","3,4",9,0,"0,3","0,5","3,3","1,4","1,8","0,1"
Costa Rica,188,2011,15-49,"76,2","74,7","27,3","4,6","20,7","8,7","2,4","10,8","0,1","0,1",0,"1,5","0,9","0,3","0,3"
Côte d'Ivoire,384,1980-1981,15-49,"2,9","0,5",0,0,"0,4",0,"0,1",0,0,0,0,"2,4","0,3","0,1",2
Côte d'Ivoire,384,1994,15-49,"11,4","4,3",0,0,"2,2","0,8",0,"0,7",0,0,"0,7","7,1",6,0,"1,1"
Côte d'Ivoire,384,1998-1999,15-49,15,"7,3","0,1",0,"3,5","1,4","0,4","1,8",0,0,0,"7,8","6,2","0,4","1,2"
Côte d'Ivoire,384,2006,15-49,"12,9",8,0,0,"5,5","1,1",0,1,0,0,"0,5","4,9",3,0,"1,9"
Côte d'Ivoire,384,2011-2012,15-49,"18,2","11,9","0,1",0,"7,1","2,4","0,1","1,8",0,"0,2","0,3","6,3","3,9","0,6","1,8"
Croatia,191,1970,15-44,58,7,0,0,"3,1",0,"0,4","3,5",0,0,0,51,"3,4","47,6",0
Cuba,192,1987,15-49,70,67,22,0,10,0,33,2,0,0,0,2,1,1,0
Cuba,192,2000,15-49,"73,3","72,1",19,0,"3,6","0,7","43,5",5,"0,1","0,3",0,"1,2","0,6","0,4","0,3"
Cuba,192,2006,15-49,"72,6","71,6",19,0,"5,5","0,9","35,2","10,6","0,1","0,1","0,2",1,"0,5","0,3","0,2"
Cuba,192,2010-2011,15-49,"74,3","73,2","23,9","0,1","5,2","1,4","24,9","17,2","0,2","0,1","0,2","1,2","0,5","0,3","0,4"
