Country,ISO_code,Years,Age,Any_method,Any_modern_method,Female_Sterilization,Male_Sterilization,Pill,Injectable,IUD,Male_condom,Vaginal_barrier_methods,Implant,Other_modern_methods,Any_traditional_method,Rhythm,Withdrawal,Other_traditional_methods
Czech Republic,203,1970,<45,66,"24,3",0,0,"2,6",0,"9,2","12,5",0,0,0,"41,6",2,"34,3","5,3"
Czech Republic,203,1977,18-44,95,"49,3","2,8",0,"14,2",0,18,"13,3",1,0,0,"45,7","6,7","29,5","9,5"
Czech Republic,203,1991,15-44,78,53,2,0,7,0,17,27,0,0,0,25,0,0,0
Czech Republic,203,1993,15-44,"68,9","44,9","2,7",0,8,0,"15,3","18,7","0,2",0,0,"24,1","1,9","22,2",0
Czech Republic,203,1997,15-44,72,"62,6","7,2","5,1","23,1",0,"13,9","12,7","0,7",0,0,"9,5","1,7","7,3","0,5"
Czech Republic,203,2005,18-49,"78,2","69,9",0,0,"45,7",0,"7,6","15,4",0,0,"1,2","8,3",0,0,"8,3"
Czech Republic,203,2008,18-49,"86,3","77,6",0,0,"54,4",0,"7,3","13,1",0,0,"2,8","8,7",0,0,"8,7"
Democratic People's Republic of Korea,408,1990-1992,15-49,"61,9",53,"4,1","0,3","0,1",0,"48,5",0,0,0,0,"8,9",0,0,0
Democratic People's Republic of Korea,408,1997,15-49,"67,3","55,8",0,0,"1,3",0,"49,5","0,9",0,0,"4,1","11,6","10,4","1,2",0
Democratic People's Republic of Korea,408,2002,15-49,"68,6","58,2","4,4","0,8","3,7",0,"42,8","5,8","0,7",0,0,"10,4",0,0,0
Democratic People's Republic of Korea,408,2010,20-49,"70,6","65,3","3,2",0,"0,2","0,2","61,5","0,2",0,0,"0,1",6,"4,5","1,5",0
Democratic Republic of the Congo,180,1982-1984,13-49,"25,8","4,4","1,2",0,"1,4","0,8","0,7","0,3","0,1",0,0,"21,4","7,5",3,"10,9"
Democratic Republic of the Congo,180,1991,12-49,"7,7","2,3","0,3",0,"0,5","0,4","0,1","0,5","0,2",0,"0,3","5,4",0,0,0
Democratic Republic of the Congo,180,2001,15-49,"31,4","4,4","0,4","0,1",1,"0,3","0,1","2,3","0,1",0,0,"27,1","17,2","3,1","6,8"
Democratic Republic of the Congo,180,2007,15-49,"20,6","5,8","0,8",0,1,"0,4","0,2","3,4",0,0,"0,1","14,9",11,"3,1","0,8"
Democratic Republic of the Congo,180,2010,15-49,"17,7","5,4","0,8",0,1,"0,7","0,1","2,5",0,"0,3","0,1","12,3","8,4","1,1","2,9"
Denmark,208,1970,<45,67,54,0,0,"24,8",0,"2,7","20,1",0,0,"6,4",13,"1,3","4,7",7
Denmark,208,1975,18-44,63,"59,9",0,0,"22,1",0,"8,8","24,6","4,4",0,0,"3,1","0,6","1,3","1,2"
Denmark,208,1988,15-44,78,72,5,5,26,0,11,22,3,0,0,6,2,4,0
Denmark,208,1991-1993,15-49,"76,5",0,"4,7",10,21,0,"23,9","24,3","1,1",0,0,0,"1,9","1,4","0,7"
Djibouti,262,2002,15-49,9,"5,8",0,0,"4,2",0,0,0,0,0,0,"2,8",0,0,"2,5"
Djibouti,262,2006,15-49,"17,8","17,1","0,4",0,"13,6","2,5","0,4","0,2",0,0,0,"0,7",0,0,0
Djibouti,262,2012,15-49,19,18,0,0,"10,9","6,1",0,0,0,"0,6","0,4",1,0,0,1
Dominica,212,1981-1982,15-44,"62,3","57,5","18,2",0,"20,2","11,2","2,5","4,8","0,8",0,0,"2,3","1,3",1,0
Dominica,212,1987,15-44,"49,8","47,9","11,9",0,"17,2","11,2","1,6",6,0,0,0,"1,9",0,0,0
Dominican Republic,214,1975,15-49,"31,8",26,"11,9","0,1","7,9","0,2","2,8","1,5","1,6",0,0,"5,8","1,2","3,7","0,9"
Dominican Republic,214,1980,15-49,42,35,0,0,9,0,0,0,0,0,26,6,0,0,0
Dominican Republic,214,1983,15-49,"45,8","41,8","27,4","0,1","8,6",0,"3,8","1,5","0,3",0,"0,1",4,"1,1","2,5","0,4"
Dominican Republic,214,1986,15-49,"49,8","46,5","32,9","0,1","8,8","0,1",3,"1,4","0,2","0,2",0,"3,3","1,4","1,5","0,4"
Dominican Republic,214,1991,15-49,"56,4","51,7","38,5",0,"9,8",0,"1,8","1,2",0,0,"0,5","4,7",2,"2,2","0,5"
Dominican Republic,214,1996,15-49,"63,7","59,2","40,9",0,"12,9",0,"2,5","1,4",0,"0,6","0,9","4,4","1,8","1,9","0,7"
Dominican Republic,214,1999,15-49,"69,2","64,2","43,5","0,2","14,5","0,8","3,2","0,9",0,"0,5","0,6",5,"1,9","3,1",0
Dominican Republic,214,2000,15-49,"64,7","62,5","42,9",0,"14,2","1,6","2,5","0,9",0,"0,4",0,"2,2","1,4","0,1","0,7"
Dominican Republic,214,2002,15-49,"69,8","65,4","45,8","0,1","13,5","1,9","2,2","1,3",0,"0,5",0,"4,4","1,4","1,7","1,3"
Dominican Republic,214,2006,15-49,"61,3",60,"36,9",0,"14,1","4,1","1,9",2,0,0,1,"1,3",0,0,0
Dominican Republic,214,2007,15-49,"72,9","69,5","47,4",0,"13,4","4,2","2,1","1,9",0,"0,6",0,"3,4","1,3","1,5","0,6"
Dominican Republic,214,2009-2010,15-49,73,"71,1","44,1",0,"16,8","6,3","1,7","1,4",0,0,"0,9","1,9",0,0,0
Ecuador,218,1979-1980,15-49,"33,6","25,8","7,8","0,2","9,5","0,9","4,8",1,"1,6",0,0,"7,9","4,8","2,3","0,8"
Ecuador,218,1982,15-49,"39,9","32,9","12,4",0,"10,3","0,7","6,4","1,1",2,0,0,7,"4,8","1,5","0,7"
Ecuador,218,1987,15-49,"44,3","35,8",15,0,"8,5","0,7","9,8","0,6","1,2",0,0,"8,4","6,1",2,"0,3"
Ecuador,218,1989,15-49,"52,9","41,6","18,3","0,2","8,6","0,4","11,9","1,3","0,8",0,0,"11,3","8,8","2,5",0
Ecuador,218,1994,15-49,"56,8","45,9","19,8","0,1","10,2","0,5","11,8","2,6","0,6",0,"0,3","10,9","7,4","3,5",0
Ecuador,218,1999,15-49,"65,8","51,4","22,5",0,"11,1","3,5","10,1","2,7","0,2",0,"1,4","14,4","7,9","6,5",0
Ecuador,218,2004,15-49,"72,7","58,7","24,2",0,"13,3","5,9","10,1","4,3","0,2",0,"0,7",14,"7,5","5,7","0,8"
Egypt,818,1974-1975,15-49,"24,9","22,4",0,0,"19,9",0,"2,5",0,0,0,0,"2,4",0,0,0
Egypt,818,1980,<44,"31,4","29,7","0,7","0,1","21,7","0,1","5,3","1,3","0,3",0,"0,1","1,8","0,6","0,4","0,6"
Egypt,818,1984,<50,"30,3","28,7","1,5",0,"16,5","0,3","8,4","1,3","0,7",0,0,"1,6","0,6","0,3","0,7"
Egypt,818,1988,15-49,"37,8","35,4","1,5",0,"15,3","0,1","15,7","2,4","0,4",0,0,"2,4","0,6","0,5","1,3"
Egypt,818,1991,15-49,"47,6","44,3","1,3",0,"15,9","0,5","24,1","2,1","0,4",0,0,"3,3","0,7","0,3","2,3"
Egypt,818,1992,15-49,"47,1","44,8","1,1",0,"12,9","0,5","27,9",2,"0,4",0,0,"2,3","0,7","0,7",1
Egypt,818,1995,15-49,"47,9","45,5","1,1",0,"10,4","2,4",30,"1,4","0,1",0,0,"2,4","0,8","0,5","1,1"
Egypt,818,1997-1998,15-49,"54,5","51,8","1,4",0,"10,2","3,9","34,6","1,5","0,2","0,1",0,"2,6","0,6","0,4","1,6"
Egypt,818,1998,15-49,"51,7","49,5","1,3",0,"8,7","3,9","34,3","1,1","0,1",0,0,"2,3","0,8","0,3","1,2"
Egypt,818,2000,15-49,"56,1","53,9","1,4",0,"9,5","6,1","35,5",1,"0,2","0,2",0,"2,2","0,6","0,2","1,3"
Egypt,818,2003,15-49,60,"56,6","0,9",0,"9,3","7,9","36,7","0,9","0,1","0,9",0,"3,4","0,8","0,4","2,2"
Egypt,818,2005,15-49,"59,2","56,5","1,3",0,"9,9",7,"36,5",1,0,"0,8",0,"2,7","0,7","0,3","1,7"
Egypt,818,2008,15-49,"60,3","57,6",1,0,"11,9","7,4","36,1","0,7",0,"0,5",0,"2,7","0,4","0,2",2
El Salvador,222,1975,15-44,"21,6",20,0,0,"7,3",0,2,"0,6",0,0,"10,1","1,6",0,0,0
El Salvador,222,1978,15-44,"34,4","32,3",0,0,"8,7",0,"3,3","1,5",0,0,"18,9",2,0,0,0
El Salvador,222,1985,15-44,"47,3","44,5","31,8","0,7","6,6","0,7","3,3","1,2","0,2",0,0,"2,8","1,9","0,8","0,1"
El Salvador,222,1988,15-44,"47,1","43,5","29,6","0,6","7,6","0,9",2,"2,4","0,4",0,0,"3,4","2,4",1,0
El Salvador,222,1993,15-44,"53,3","48,4","31,5","0,4","8,7","3,6","2,1","2,1",0,0,0,5,3,2,0
El Salvador,222,1998,15-44,60,"54,7","34,9","0,4","7,3","8,1","1,3","2,4",0,0,"0,3","5,3","2,8","2,5",0
El Salvador,222,2002-2003,15-44,"66,9","61,7","32,7",0,"5,8","18,3","1,3","2,9",0,0,0,"5,2","2,9","2,6",0
El Salvador,222,2008,15-44,"72,3","66,1","35,3","0,3","4,9",20,"0,8","4,3",0,0,"0,4","6,2","3,7","2,4",0
Equatorial Guinea,226,2000,15-49,"10,1","6,1","0,5","0,1","1,5","2,3","0,7","0,4","0,3","0,1","0,2",4,2,"0,6","1,4"
Equatorial Guinea,226,2011,15-49,"12,6","8,4",1,0,"2,3","2,1","0,5","2,2",0,0,"0,2","4,2","1,5","1,3","0,3"
Eritrea,232,1995,15-49,8,4,"0,3",0,2,"0,8","0,6","0,3",0,0,0,4,"0,8","0,2",3
Eritrea,232,2002,15-49,8,"5,1","0,2",0,"1,4","2,6","0,4","0,6",0,0,0,"2,9","0,7","0,1","2,1"
Estonia,233,1994,20-49,"70,3","56,4",0,0,"3,9",0,"35,9","16,1","0,6",0,0,"13,8","8,1","4,5","1,2"
Estonia,233,2004-2005,18-49,"63,4","57,9","0,1",0,19,0,"21,5","13,5","0,7",0,"3,2","5,5","3,3","2,2",0
Ethiopia,231,1990,15-49,"4,8","2,9","0,3",0,"2,2",0,"0,3","0,1",0,0,0,"1,9","0,5","0,1","1,2"
Ethiopia,231,1997,15-49,"3,3","2,8",0,0,0,0,0,0,0,0,0,"0,5",0,0,0
Ethiopia,231,2000,15-49,"8,1","6,3","0,3",0,"2,5","3,1","0,1","0,3",0,0,0,"1,7","1,5","0,2","0,1"
Ethiopia,231,2005,15-49,"14,7","13,7","0,2",0,"3,1","9,9","0,2","0,2",0,"0,2",0,1,"0,6","0,3","0,2"
Ethiopia,231,2010-2011,15-49,"28,6","27,3","0,5",0,"0,3","20,8","2,1","0,2",0,"3,4",0,"1,3","0,9","0,3","0,1"
Fiji,242,1974,15-49,"40,9","35,1","15,8","0,1","8,2","0,3","4,7",6,0,0,0,"5,8","2,3","2,8","0,7"
Finland,246,1971,<45,77,"53,9",0,0,20,0,"3,1","30,8",0,0,0,"23,1","0,8","16,2","6,1"
Finland,246,1977,18-44,80,"77,2",4,"0,8","11,2",0,"28,8",32,"0,4",0,0,"2,8","0,4","2,4",0
Finland,246,1989-1990,25-49,"77,4","75,4","14,9","1,1","11,3","1,9","25,8","20,1","0,3",0,0,"2,1","0,7","0,6","0,8"
France,250,1971,<45,64,"20,9",0,0,"10,9",0,"1,3","7,7",0,0,1,"43,1",9,"33,2","0,9"
France,250,1978,20-44,"78,7","47,6",0,0,"26,6",0,"10,3","6,1",0,0,"4,6","31,1","6,4","22,2","2,5"
France,250,1988,20-44,"81,2","66,6","6,7",0,"29,7",0,"25,9","4,3",0,0,0,"14,6","6,4","6,6","1,6"
France,250,1994,20-49,"74,5","69,3",8,0,"35,6",0,"19,9",5,"0,7",0,0,"5,3","1,6","3,2","0,5"
France,250,2000,18-44,"81,8","76,5",0,0,"43,8",0,"21,9","4,7","0,6",0,"5,5","5,3","1,6","3,1","0,6"
France,250,2004-2005,15-49,"76,6","74,8",0,0,"41,5",0,"22,7","6,8","0,6",0,"3,2","1,7","0,3",1,"0,4"
France,250,2005,18-49,"74,8","73,4","4,9","0,8","38,8","0,1","19,2","7,7","0,6","1,3",0,"1,4","0,6","0,8",0
France,250,2008,20-49,"76,4","74,1","3,8","0,8","40,6",1,"18,9","7,9","0,2","0,1","0,9","2,3","1,9","0,4",0
Gabon,266,2000,15-49,"32,7","11,8",1,0,"4,8","0,5",0,"5,1",0,0,"0,3",21,"15,8","1,8","3,4"
Gabon,266,2012,15-49,"31,1","19,4",0,"5,7","0,4",0,12,0,0,"0,8","9,1","0,6","2,3","0,3","0,3"
Gambia,270,1990,15-49,"11,8","6,7","0,4",0,"3,3","1,7","0,9","0,4",0,0,0,"5,1","3,1",0,2
Gambia,270,2000,15-49,"9,5","8,7","0,1",0,"3,8","3,8","0,8","0,1",0,0,0,"0,8","0,1","0,2","0,5"
Gambia,270,2001,15-49,"17,5","12,7","0,7",0,"6,5","3,5","1,4","0,5","0,1",0,0,"2,4","2,1","0,2","0,1"
Gambia,270,2010,15-49,"13,3","10,1",0,0,"3,2","3,4",0,0,0,0,"3,5","3,2","1,4",0,"1,8"
Gambia,270,2013,15-49,9,"8,1","0,6",0,"2,1","3,9","0,3","0,6",0,"0,6",0,"0,9","0,2","0,3","0,4"
Georgia,268,1999-2000,15-44,"40,5","19,8","1,6",0,1,0,"9,7","6,3","0,1",0,1,"20,7","10,2","10,5",0
Georgia,268,2005,15-44,"47,3","26,6","2,2",0,"3,2",0,"11,6","8,7","0,9",0,0,"20,7","9,5","11,2",0
Georgia,268,2006,18-49,"45,6","31,1",6,"0,1","7,7","0,2","10,3","6,4","0,3",0,"0,1","14,5","13,1","1,3",0
Georgia,268,2009,21-49,"35,5","26,7","4,7","0,1","6,2","0,1","8,1","7,1","0,4",0,"0,1","8,8","7,7",1,0
Georgia,268,2010,15-44,"53,4","34,7","2,9",0,"4,1",0,"12,5","13,6","1,5",0,"0,1","18,5","7,4","11,1",0
Germany,276,1985,15-44,"77,9","67,6","10,3","2,1","33,7",0,"14,6","5,7","1,2",0,0,"10,3","4,2","4,2","1,9"
Germany,276,1992,20-39,"70,1","65,6","5,5","0,5","52,6",0,"5,3","1,1","0,6",0,0,"4,5","3,7","0,5","0,3"
Germany,276,2005,18-49,"66,2","61,6","8,3","2,4","37,2","0,7","5,9","6,2","0,5","0,3","0,2","4,7","3,9","0,7",0
Ghana,288,1979-1980,15-49,"9,5","5,5","0,5",0,"2,4","0,1","0,3","0,6","1,6",0,0,4,"0,7","0,2","3,1"
Ghana,288,1988,15-49,"12,9","5,2",1,0,"1,8","0,3","0,5","0,3","1,3",0,0,"7,7","6,2","0,9","0,6"
Ghana,288,1991-1992,15-49,"17,2","7,2","0,2",0,"3,4","0,9","0,8","1,2",0,0,"0,7","9,9","2,8","0,1",7
Ghana,288,1993,15-49,"20,3","10,1","0,9",0,"3,2","1,6","0,9","2,2","1,2",0,0,"10,1","7,5","2,1","0,5"
Ghana,288,1998-1999,15-49,15,"10,6","0,3",0,"5,4","2,5","0,3","1,9",0,0,"0,2","4,3","2,5","0,3","1,5"
Ghana,288,1998-1999,15-49,22,"12,8","1,3",0,"3,9","3,1","0,7","2,7","0,9","0,1",0,"9,2","6,6","1,5","1,1"
Ghana,288,2003,15-49,"25,2","18,4","1,9",0,"5,5","5,4","0,9","3,1","0,5",1,"0,1","6,8","5,1","0,8","0,9"
Ghana,288,2005-2006,15-49,"24,2","15,7","0,1",0,"5,9","5,2","0,3","3,5","0,2","0,3","0,2","8,4","4,4","0,7","3,3"
Ghana,288,2006,15-49,"16,6","13,6","0,4",0,"4,7","5,8","0,3","1,5","0,3","0,6","0,1","3,1","2,1","0,2","0,7"
Ghana,288,2008,15-49,"23,5","16,6","1,6",0,"4,7","6,2","0,2","2,4","0,3","0,9","0,1","6,9","4,7","1,4","0,8"
Ghana,288,2011,15-49,"34,7","23,4","1,5",0,"7,7","8,8","0,6","2,6","0,1","1,8",0,"11,3","8,5","0,9","1,9"
Ghana,288,2013,15-49,"19,5","18,4",0,0,"4,8","7,6","0,6","0,9",0,"2,9","1,5","1,1",0,0,"1,1"
Greece,300,1983,15-44,"77,2","31,6","0,8",0,"1,2",0,2,"27,4","0,2",0,0,"45,6",0,"35,1","10,5"
Greece,300,1999,20-49,"61,3","33,6","5,8",0,"2,2",0,"3,6",22,0,0,0,"27,7","2,4","25,3",0
Greece,300,2001,16-45,"76,2","45,9",0,0,"4,8",0,"3,6","33,9",0,0,"3,6","30,3",0,"28,8","1,5"
Grenada,308,1985,15-44,31,"27,3","2,2",0,"7,8","2,9","2,6",8,"3,8",0,0,"3,5","0,6","2,9",0
Grenada,308,1990,15-44,"54,3","52,1",1,0,"15,1",9,3,"21,9","2,1",0,0,"2,1",0,0,0
Guadeloupe,312,1976,15-49,"29,4","21,1",8,0,"6,6",0,"2,4","3,7","0,2",0,"0,2","8,3","3,2","4,2","0,9"
Guam,316,2002,18-44,"66,6","58,3","18,2","3,9",24,"4,6","0,7","6,9",0,0,0,"8,3","2,5","2,1","3,7"
Guatemala,320,1977-1978,15-44,"18,1","15,2","5,9","0,4","5,4","1,1","1,3","0,7","0,4",0,0,"2,9","2,6","0,3",0
Guatemala,320,1983,15-44,25,"20,6","10,2","0,9","4,7",0,"2,6","1,2",0,0,1,"4,4","3,4",1,0
Guatemala,320,1987,15-44,"23,2","19,1","10,4","0,9","3,9","0,5","1,8","1,2","0,4",0,0,"4,1","2,8","1,2","0,1"
Guatemala,320,1995,15-49,"31,4","26,9","14,3","1,5","3,8","2,5","2,6","2,2",0,0,0,"4,5","3,6","0,9","0,1"
Guatemala,320,1998-1999,15-49,"38,2","30,9","16,7","0,8",5,"3,9","2,2","2,3",0,0,0,"7,3","5,7","1,5","0,1"
Guatemala,320,2002,15-49,"43,3","34,4","16,8",1,"3,4",9,"1,9","2,3","0,1","0,1",0,"8,8","6,3","2,3","0,2"
Guatemala,320,2008-2009,15-49,"54,1",44,"18,9",0,"3,6","14,7","1,3","3,6",0,0,2,"10,1","6,4","3,6","0,1"
Guinea,324,1992-1993,15-49,"1,7",1,0,0,"0,5",0,0,"0,1",0,0,"0,4","0,7","0,6",0,"0,1"
Guinea,324,1999,15-49,"6,2","4,2",0,0,"2,1",1,"0,2","0,6",0,0,"0,3",2,"1,6","0,2","0,2"
Guinea,324,2005,15-49,"9,1",4,"0,2",0,"1,6",1,"0,1","1,1",0,0,0,"5,1",1,0,"4,1"
Guinea,324,2012,15-49,"5,6","3,3","0,1",0,"1,2","1,3","0,2","0,5",0,"0,1",0,"2,3","0,3","0,3","1,7"
Guinea-Bissau,624,2000,15-49,"7,6","3,6","0,3",0,"0,3","0,5","2,3","0,1",0,0,0,"4,1","2,5","0,3","1,3"
Guinea-Bissau,624,2006,15-49,"10,3","6,1","0,3",0,"1,3","0,7","2,9","0,7",0,"0,1","0,1","4,2","0,3",0,"3,9"
Guinea-Bissau,624,2010,15-49,"14,2","10,3",0,0,"1,2","1,5",4,"3,2",0,0,"0,4","3,9",1,0,"2,9"
Guyana,328,1975,15-49,"29,5","23,4","8,5",0,9,0,"5,6",0,"0,3",0,0,"7,4","2,9",1,"3,5"
Guyana,328,1991-1992,15-44,"38,2","36,9","6,3",0,"12,8","1,9","8,8","5,4","1,7",0,0,"1,3",0,0,0
Guyana,328,2000,15-49,"37,3",36,"4,5","0,1","11,2","3,7","6,3","8,8","0,4",1,"0,1","1,3","0,5","0,4","0,5"
Guyana,328,2005,15-49,"34,6","33,5",3,0,"12,2","3,8","7,6","6,1","0,7","0,1",0,"1,1","0,7","0,1","0,2"
Guyana,328,2006-2007,15-49,"34,2","32,7","1,7",0,"12,8","3,6","5,5","5,8","0,5","2,7","0,1","1,5","0,3","0,2","0,9"
Guyana,328,2009,15-49,"42,5","39,8","5,3",0,"9,2","4,8","7,3","12,9",0,"0,2",0,"2,7","0,7","1,4","0,6"
Haiti,332,1977,15-50,"18,9","5,4","0,2","0,2","3,3",0,"0,5","1,1","0,1",0,0,"13,5","4,2","4,7","4,6"
Haiti,332,1983,15-49,"6,9","3,9","0,7","0,1","2,2","0,2","0,2","0,5",0,0,0,3,"1,4","1,6",0
Haiti,332,1987,15-49,"6,7",5,"1,3",0,"2,3","0,8","0,4","0,2",0,0,0,"1,9",1,"0,3","0,6"
Haiti,332,1989,15-49,"10,2","9,4","2,5",0,"4,1","1,6","0,6","0,5","0,1",0,0,"0,8","0,4","0,4",0
Haiti,332,1994-1995,15-49,18,"13,2","3,1",0,"3,1","2,7",0,"2,6",0,"1,2","0,4","4,8",2,"2,4","0,4"
Haiti,332,2000,15-49,"28,1","22,3","2,8",0,"2,3","11,8",0,"2,9",0,2,"0,5","5,8","2,1","3,1","0,7"
Haiti,332,2005-2006,15-49,32,"23,6","2,1",0,"3,3",11,0,"5,3",0,"1,6","0,2","8,4","2,4","4,2","1,8"
Haiti,332,2012,15-49,"34,5",31,"1,5","0,1","2,8","19,4","0,1","5,1",0,"1,9","0,1","3,5","1,6","1,1","0,8"
Honduras,340,1981,15-49,"26,9","23,6",8,"0,2","11,7","0,3","2,4","0,3","0,7",0,0,"3,3","1,6","1,6","0,1"
Honduras,340,1984,15-44,"34,9","30,4","12,1","0,2","12,7","0,3","3,8","0,9","0,4",0,0,"4,6","2,9","1,7",0
Honduras,340,1987,15-44,"40,6","32,9","12,6","0,2","13,4","0,3","4,3","1,8","0,3",0,0,"7,6","3,5","3,9","0,2"
Honduras,340,1991-1992,15-44,"46,7","34,7","15,6","0,2","10,1","0,5","5,1","2,9","0,3",0,0,12,"6,7",5,"0,3"
Honduras,340,1996,15-49,"49,2","40,3","18,9","0,1","9,1",1,"7,9","3,1",0,0,"0,1",9,"3,8","5,1",0
Honduras,340,2001,15-49,"61,6","50,9","19,8","0,2","9,8","8,9","8,9","3,2",0,0,0,"10,7","4,3","6,4",0
Honduras,340,2005-2006,15-49,"65,2","56,1","21,2","0,3","11,3","13,8","6,6","2,9",0,0,0,"9,1","3,1","5,8","0,2"
Honduras,340,2011-2012,15-49,"73,2","63,8","22,3","0,3","11,9","18,1","6,8","4,3",0,0,0,"9,4","2,8","6,4","0,1"
Hungary,348,1958,<35,58,18,0,0,0,0,0,12,6,0,0,40,4,30,6
Hungary,348,1965-1966,15-39,"66,6","18,5",0,0,"0,1",0,"0,1","11,6","6,4",0,"0,3","48,1","2,4",42,"3,7"
Hungary,348,1969,<35,67,31,0,0,17,0,1,9,3,0,1,35,4,28,3
Hungary,348,1972,<35,73,40,0,0,26,0,4,7,2,0,1,33,4,26,3
Hungary,348,1974,<35,74,44,0,0,27,0,6,7,3,0,1,30,3,26,1
Hungary,348,1975,<35,76,52,0,0,36,0,8,6,2,0,0,24,4,19,1
Hungary,348,1977,15-39,"73,1","52,2",0,0,"36,1",0,"9,6","4,3","1,8",0,"0,4","20,9","3,1","17,1","0,7"
Hungary,348,1986,15-39,"73,1","62,3",0,0,"39,3",0,"18,6","3,5","0,9",0,0,"10,7","2,1","8,3","0,3"
Hungary,348,1992-1993,18-41,"80,6","71,3",5,0,"39,4",0,"18,2","8,1","0,6",0,0,"9,3","2,6","6,5","0,2"
India,356,1970-1971,15-44,"13,6","9,5","2,6","3,5","0,3",0,"0,7","2,5",0,0,0,"4,1",0,0,0
India,356,1980-1981,15+,"35,3","28,1",0,0,1,0,"0,5","4,2",0,0,"22,4","7,3",0,0,0
India,356,1988,15-44,"44,9","39,9",0,0,"1,4",0,"1,9","5,3",0,0,"31,3",5,0,0,0
India,356,1992-1993,15-49,"40,7","36,5","27,4","3,5","1,2",0,"1,9","2,4",0,0,0,"4,3","2,6","1,4","0,2"
India,356,1998-1999,15-49,"48,2","42,8","34,2","1,9","2,1",0,"1,6","3,1",0,0,0,"5,4",3,2,"0,4"
India,356,2000,15-49,"46,9","42,3",0,0,0,0,0,0,0,0,"34,2","4,6",0,0,0
India,356,2002-2004,15-44,53,"45,7","34,3","0,9","3,5",0,"1,9","4,8",0,0,"0,3","7,3","4,1","2,7","0,5"
India,356,2005-2006,15-49,"56,3","48,5","37,3",1,"3,1","0,1","1,7","5,2",0,0,0,"7,8","4,9","2,5","0,3"
India,356,2007-2008,15-49,"54,8","48,1","35,8","1,1","3,6",0,"1,8","5,5",0,0,"0,3","6,4","4,4",2,0
Indonesia,360,1973,15-49,"8,6","7,2",0,0,"3,3",0,"3,4","0,5",0,0,0,"1,4",0,0,0
Indonesia,360,1976,15-49,"26,3","22,9","0,3",0,"14,9","0,2","5,6","1,8","0,1",0,0,"3,4","0,8","0,3","2,3"
Indonesia,360,1979,10-49,"31,2","24,6","0,4","0,1","16,7",0,"6,4",1,0,0,0,"6,8","0,5","0,1","6,2"
Indonesia,360,1985,10-49,"38,5","36,9","1,2","0,4","15,4","7,4","11,9","0,6",0,0,0,"1,6",0,0,0
Indonesia,360,1987,15-49,"47,7",44,"3,1","0,2","16,1","9,4","13,2","1,6",0,"0,4",0,"3,7","1,2","1,3","1,2"
Indonesia,360,1991,15-49,"49,7","47,1","2,7","0,6","14,8","11,7","13,3","0,8",0,"3,1",0,"2,6","1,1","0,7","0,9"
Indonesia,360,1993,15-49,"53,1","51,2",0,0,"14,6","17,2","12,6","1,2",0,"1,3","4,4",2,0,0,0
Indonesia,360,1994,15-49,"54,7","52,1","3,1","0,7","17,1","15,2","10,3","0,9",0,"4,9",0,"2,7","1,1","0,8","0,8"
Indonesia,360,1995,15-49,"54,2","52,5",0,0,"15,8",19,"11,4","0,8",0,"1,4","4,2","1,7",0,0,0
Indonesia,360,1996,15-49,"54,2","52,6",0,0,"14,6","20,3","10,7","0,9",0,"2,2","3,9","1,6",0,0,0
Indonesia,360,1997,15-49,"57,4","54,7",3,"0,4","15,4","21,1","8,1","0,7",0,6,0,"2,7","1,1","0,8","0,8"
Indonesia,360,1998,15-49,"55,4","54,2",0,0,"15,1","22,8","9,6","0,7",0,"2,6","3,3","1,3",0,0,0
Indonesia,360,1999,15-49,"55,4","54,3",0,0,"16,1","22,1","9,5","0,6",0,"2,2","3,9","1,1",0,0,0
Indonesia,360,2000,15-49,"54,8","53,8",0,0,"14,7","23,3",9,"0,4",0,"2,4",4,1,0,0,0
Indonesia,360,2001,15-49,"52,5","51,8",0,0,"13,7","24,9","5,9","0,2",0,"4,7","2,4","0,8",0,0,0
Indonesia,360,2002-2003,15-49,"60,3","56,6","3,7","0,4","13,2","27,8","6,2","0,9",0,"4,3",0,"3,7","1,6","1,5","0,6"
Indonesia,360,2005,15-49,"57,2","57,1","2,2","0,2","14,2","32,2","5,3","0,4","0,1","1,7",0,"0,1",0,0,0
Indonesia,360,2005,15-49,"57,9","57,5",2,"0,6","13,5","33,1","5,2","0,3","0,1","2,7",0,"0,6",0,0,0
Indonesia,360,2007,15-49,"61,4","57,4",3,"0,2","13,2","31,8","4,9","1,3",0,"2,8",0,4,"1,5","2,1","0,4"
Indonesia,360,2012,15-49,"61,9","57,9","3,2","0,2","13,6","31,9","3,9","1,8",0,"3,3",0,4,"1,3","2,3","0,4"
Iran (Islamic Republic of),364,1976-1977,15-49,36,"25,9",0,0,"17,3",0,"1,4",4,0,0,"3,2","10,1",0,0,0
Iran (Islamic Republic of),364,1989,15-49,"48,9","30,5",0,0,"18,1",0,"3,7","5,7",0,0,3,"18,4",0,0,0
Iran (Islamic Republic of),364,1992,15-49,"64,6","44,6","7,6","0,9","22,6",0,"7,1","6,4",0,0,0,20,0,0,0
Iran (Islamic Republic of),364,1993,15-49,"67,8","49,2","9,2",1,"24,5",0,"7,2","6,7",0,0,"0,6","18,6",0,0,0
Iran (Islamic Republic of),364,1994,15-49,70,"51,1","11,1","1,2",22,"0,5","7,8","6,6",0,0,"1,9","18,9",0,0,0
